type,osm_id,osm_url,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,alcohol,alt_name,amenity,bar,beverage,building,contact:email,contact:phone,contact:website,cuisine,description,food,int_name,internet_access,layer,microbrewery,name,newsagent,old_name,opening_hours,operator,organic,outdoor_seating,phone,smoking,takeaway,tobacco,website,wheelchair,wheelchair:entrance_width,wheelchair:step_height,wifi
Restaurants,1720532345,http://www.openstreetmap.org/browse/node/1720532345,,,,,,,,,,restaurant,,,,,,,,,,,,,,Burger et Blanquette,,,,,,,,,,,,,,,
Restaurants,635879580,http://www.openstreetmap.org/browse/node/635879580,,,,,,,,,,restaurant,,,,,,,,,,,,,,Chez Boris,,,,,,,,,,,,,,,
Cafés,976483966,http://www.openstreetmap.org/browse/node/976483966,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafés,635866247,http://www.openstreetmap.org/browse/node/635866247,,,,,,,,,,cafe,,,,,,,,,,,,,,Le Petit Nice,,,,,,,,,,,,,,,
Restaurants,711994591,http://www.openstreetmap.org/browse/node/711994591,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Tire Bouchon,,,,,,,,,,,,,,,
Restaurants,-2056517020,http://www.openstreetmap.org/browse/node/2238450276,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,620884301,http://www.openstreetmap.org/browse/node/620884301,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Carré Chic,,,,,,,,,,,,,,,
Restaurants,-2056517014,http://www.openstreetmap.org/browse/node/2238450282,,,,,,,,,,restaurant,,,,,,,,,,,,,,Boby Chéri,,,,,,,,,,,,,,,
Fast-Foods,724233236,http://www.openstreetmap.org/browse/node/724233236,,,,,,,,,,fast_food,,,,,,,,,,,,,,Chez Tim Titone,,,,,,,,,,,,,,,
Fast-Foods,724233245,http://www.openstreetmap.org/browse/node/724233245,,,,,,,,,,fast_food,,,,,,,asian,,,,,,,Le Lotus d'Or,,,,,,,,,,,,,,,
Cafés,582826478,http://www.openstreetmap.org/browse/node/582826478,,,,,,,,,,cafe,,,,,,,,,,,,,,Café de la Mer,,,,,,,,,,,,,,,
Cafés,711994604,http://www.openstreetmap.org/browse/node/711994604,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Z,,,,,,,,,,,,,,,
Fast-Foods,724209675,http://www.openstreetmap.org/browse/node/724209675,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le Graillou,,,,,,,,,,,,,,,
Restaurants,620884303,http://www.openstreetmap.org/browse/node/620884303,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Nouveau Monde,,,,,,,,,,,,,,,
Restaurants,601728801,http://www.openstreetmap.org/browse/node/601728801,,,,,,,,,,restaurant,,,,,,,italian,,,,,,,Don Camillo,,,,,,,,,,,,,,,
Restaurants,724224800,http://www.openstreetmap.org/browse/node/724224800,,,,,,,,,,restaurant,,,,,,,,,,,,,,Les Vignes,,,,,,,,,,,,,,,
Cafés,724207423,http://www.openstreetmap.org/browse/node/724207423,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,-2056517009,http://www.openstreetmap.org/browse/node/2238450287,,,,,,,,,,restaurant,,,,,,,,,,,,,,Baron Rouge,,,,,,,,,,,,,,,
Cafés,711994615,http://www.openstreetmap.org/browse/node/711994615,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Joseph,,,,,,,,,,,,,,,
Restaurants,620884300,http://www.openstreetmap.org/browse/node/620884300,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Bistrot d'Alco,,,,,,,,,,,,,,,
Restaurants,712004046,http://www.openstreetmap.org/browse/node/712004046,,,,,,,,,,restaurant,,,,,,,,,,,,,,Gecko,,,,,,,,,,,,,,,
Fast-Foods,724205138,http://www.openstreetmap.org/browse/node/724205138,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le Mignon,,,,,,,,,,,,,,,
Restaurants,711994631,http://www.openstreetmap.org/browse/node/711994631,,,,,,,,,,restaurant,,,,,,,,,,,,,,Brasserie Régis,,,,,,,,,,,,,,,
Cafés,712004014,http://www.openstreetmap.org/browse/node/712004014,,,,,,,,,,cafe,,,,,,,,,,,,,,Iles et Thé une Fois,,,,,,,,,,,,,,,
Restaurants,712004019,http://www.openstreetmap.org/browse/node/712004019,,,,,,,,,,restaurant,,,,,,,,,,,,,,Tonus Fresh Kitchen,,,,,,,,,,,,,,,
Restaurants,712004009,http://www.openstreetmap.org/browse/node/712004009,,,,,,,,,,restaurant,,,,,,,,,,,,,,Arezzo,,,,,,,,,,,,,,,
Cafés,724205209,http://www.openstreetmap.org/browse/node/724205209,,,,,,,,,,cafe,,,,,,,,,,,,,,Cocco E Fragola,,,,,,,,,,,,,,,
Restaurants,712004056,http://www.openstreetmap.org/browse/node/712004056,,,,,,,,,,restaurant,,,,,,,,,,,,,,Paradis d'Asie,,,,,,,,,,,,,,,
Restaurants,601728597,http://www.openstreetmap.org/browse/node/601728597,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Diligence,,,,,,,,,,,,,,,
Restaurants,724205101,http://www.openstreetmap.org/browse/node/724205101,,,,,,,,,,restaurant,,,,,,,,,,,,,,Divine & Sens,,,,,,,,,,,,,,,
Cafés,724224832,http://www.openstreetmap.org/browse/node/724224832,,,,,,,,,,cafe,,,,,,,,,,,,,,Esprit Vin,,,,,,,,,,,,,,,
Bars,724181323,http://www.openstreetmap.org/browse/node/724181323,,,,,,,,,,bar,,,,,,,,,,,,,,Le Chab,,,,,,,,,,,,,,,
Restaurants,724186512,http://www.openstreetmap.org/browse/node/724186512,,,,,,,,,,restaurant,,,,,,,,,,,,,,Ma première cantine,,,,,,,,,,,,yes,,,
Restaurants,635883719,http://www.openstreetmap.org/browse/node/635883719,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Maison de la Lozère,,,,,,,,,,,,limited,,,
Bars,724186529,http://www.openstreetmap.org/browse/node/724186529,,,,,,,,,,bar,,,,,,,,,,,,,,L'Envers Bodega,,,,,,,,,,,,,,,
Fast-Foods,724186522,http://www.openstreetmap.org/browse/node/724186522,,,,,,,,,,fast_food,,,,,,,,,,,,,,Subway,,,,,,,,,,,,,,,
Bars,724186531,http://www.openstreetmap.org/browse/node/724186531,,,,,,,,,,bar,,,,,,,,,,,,,,Le Petit Ness,,,,,,,,,,,,,,,
Restaurants,724181322,http://www.openstreetmap.org/browse/node/724181322,,,,,,,,,,restaurant,,,,,,,,,,,,,,House Sushi,,,,,,,,,,,,,,,
Bars,724181325,http://www.openstreetmap.org/browse/node/724181325,,,,,,,,,,bar,,,,,,,,,,,,,,Le Mojo Matic,,,,,,,,,,,,,,,
Fast-Foods,622644806,http://www.openstreetmap.org/browse/node/622644806,,,,,,,,,,fast_food,,,,,,,,,,,,,,La Pita Grecque,,,,,,,,,,,,,,,
Fast-Foods,620884298,http://www.openstreetmap.org/browse/node/620884298,,,,,,,,,,fast_food,,,,,,,pizza,,,,,,,Le Petit Ogre,,,,,,,,,,,,,,,
Bars,711994646,http://www.openstreetmap.org/browse/node/711994646,,,,,,,,,,bar,,,,,,,,,,,,,,Circus Bar,,,,,,,,,,,,,,,
Bars,724181321,http://www.openstreetmap.org/browse/node/724181321,,,,,,,,,,bar,,,,,,,,,,,,,,Vodka Bar,,,,,,,,,,,,,,,
Bars,600744098,http://www.openstreetmap.org/browse/node/600744098,,,,,,,,,,bar,,,,,,,,,,,,,,Le Novelty,,,,,,,,,,,,,,,
Cafés,466917632,http://www.openstreetmap.org/browse/node/466917632,,,,,,,,,,cafe,,,,,,,,,,,,,,Vert Anglais,,,,,,,,,,,,,,,
Restaurants,620884308,http://www.openstreetmap.org/browse/node/620884308,,,,,,,,,,restaurant,,,,,,,,,,,,,,Marie Rosé,,,,,,,,,,,,,,,
Restaurants,620884307,http://www.openstreetmap.org/browse/node/620884307,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le 31,,,,,,,,,,,,,,,
Bars,600744099,http://www.openstreetmap.org/browse/node/600744099,,,,,,,,,,bar,,,,,,,,,,,,,,Café des arts,,,,,,,,,,,,yes,,,
Restaurants,635857720,http://www.openstreetmap.org/browse/node/635857720,,,,,,,,,,restaurant,,,,,,,,,,,,,,L'Atypique,,,,,,,,,,,,,,,
Restaurants,-2066292600,http://www.openstreetmap.org/browse/node/2228674696,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Poule au Pot,,,,,,,,,,,,,,,
Restaurants,-1866846853,http://www.openstreetmap.org/browse/node/2428120443,,,,,,,,,,restaurant,,,,,,,,,,,,,,Les Enfants Rouges,,,,,,,,,,,,,,,
Cafés,674060387,http://www.openstreetmap.org/browse/node/674060387,,,,,,,,,,cafe,,,,,,,,,,,,,,Salon de Thé Crèperie,,,,,,,,,,,,,,,
Restaurants,724224714,http://www.openstreetmap.org/browse/node/724224714,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Travola de Pépé,,,,,,,,,,,,,,,
Bars,1947552556,http://www.openstreetmap.org/browse/node/1947552556,,,,,,,,,,bar,,,,,,,,,,,,,,Wine Not Bar,,,,,,,,,,,,,,,
Cafés,674042170,http://www.openstreetmap.org/browse/node/674042170,,,,,,,,,,cafe,,,,,,,,,,,,,,Coffee Club,,,,,,,,,,,,,,,
Fast-Foods,711942162,http://www.openstreetmap.org/browse/node/711942162,,,,,,,,,,fast_food,,,,,,,,,,,,,,La Pizza La Vraie,,,,,,,,,,,,,,,
Restaurants,-2066292572,http://www.openstreetmap.org/browse/node/2228674724,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Lab,,,,,,,,,,,,,,,
Restaurants,-2066292581,http://www.openstreetmap.org/browse/node/2228674715,,,,,,,,,,restaurant,,,,,,,,,,,,,,Les Caves Jean Jaurès,,,,,,,,,,,,,,,
Restaurants,606351261,http://www.openstreetmap.org/browse/node/606351261,,,,,,,,,,restaurant,,,,,,,italian,,,,,,,Pizzeria du Palais,,,,,,,,,,,,,,,
Cafés,724185253,http://www.openstreetmap.org/browse/node/724185253,,,,,,,,,,cafe,,,,,,,,,,,,,,Le Lieu Unique (Salon de Thé),,,,,,,,,,,,,,,
Fast-Foods,635858613,http://www.openstreetmap.org/browse/node/635858613,,,,,,,,,,fast_food,,,,,,,,,,,,,,Mont Liban,,,,,,,,,,,,,,,
Bars,2137110966,http://www.openstreetmap.org/browse/node/2137110966,,,,,,,,,,bar,,,,,,,,,,,,,,Le Merle Blanc,,,,,,,,,,,,,,,
Bars,-1866846855,http://www.openstreetmap.org/browse/node/2428120441,,,,,,,,wine,,bar,,,,,,,,,,,,,,L'atelier,,,,,,,,,,,,,,,
Restaurants,1720538211,http://www.openstreetmap.org/browse/node/1720538211,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,712099900,http://www.openstreetmap.org/browse/node/712099900,,,,,,,,,,restaurant,,,,,,,,,,,,,,Quartier Libre,,,,,,,,,,,,,,,
Restaurants,-1866846854,http://www.openstreetmap.org/browse/node/2428120442,,,,,,,,,,restaurant,,,,,,,,,,,,,,L'Artichaut,,,,,,,,,,,,,,,
Restaurants,724215477,http://www.openstreetmap.org/browse/node/724215477,,,,,,,,,,restaurant,,,,,,,,,,,,,,Chez Toto,,,,,,,,,,,,,,,
Bars,1721133369,http://www.openstreetmap.org/browse/node/1721133369,,,,,,,,,,bar,,,,,,,,,,,,,,La Citadelle,,,,,,,,,,,,,,,
Restaurants,1720538215,http://www.openstreetmap.org/browse/node/1720538215,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bars,724168981,http://www.openstreetmap.org/browse/node/724168981,,,,,,,,,,bar,,,,,,,,,,,,,,Le Baretto,,,,,,,,,,,,,,,
Cafés,-1866846851,http://www.openstreetmap.org/browse/node/2428120445,,,,,,,,,,cafe,,,,,,,,,,,,,,SuarThé,,,,,,,,,,,,,,,
Cafés,724224684,http://www.openstreetmap.org/browse/node/724224684,,,,,,,,,,cafe,,,,,,,,,,,,,,Juice Bar,,,,,,,,,,,,,,,
Fast-Foods,724224672,http://www.openstreetmap.org/browse/node/724224672,,,,,,,,,,fast_food,,,,,,,,,,,,,,O'Sakifo,,,,,,,,,,,,,,,
Restaurants,724186713,http://www.openstreetmap.org/browse/node/724186713,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Candolle,,,,,,,,,,,,,,,
Cafés,635866757,http://www.openstreetmap.org/browse/node/635866757,,,,,,,,,,cafe,,,,,,,,,,,,,,L'Actuel Café,,,,,,,,,,,,,,,
Restaurants,1720532348,http://www.openstreetmap.org/browse/node/1720532348,,,,,,,,,,restaurant,,,,,,,,,,,,,,Koeur,,,,,,,,,,,,,,,
Restaurants,712159656,http://www.openstreetmap.org/browse/node/712159656,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le 23,,,,,,,,,,,,,,,
Fast-Foods,1721133361,http://www.openstreetmap.org/browse/node/1721133361,,,,,,,,,,fast_food,,,,,,,chinese,,,,,,,Traiteur Ly,,,,,,,,,,,,,,,
Restaurants,724168983,http://www.openstreetmap.org/browse/node/724168983,,,,,,,,,,restaurant,,,,,,,,,,,,,,L'Entretemps,,,,,,,,,,,,,,,
Fast-Foods,724186724,http://www.openstreetmap.org/browse/node/724186724,,,,,,,,,,fast_food,,,,,,,,,,,,,,Andolini,,,,,,,,,,,,,,,
Fast-Foods,635866759,http://www.openstreetmap.org/browse/node/635866759,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le 26,,,,,,,,,,,,,,,
Restaurants,724168984,http://www.openstreetmap.org/browse/node/724168984,,,,,,,,,,restaurant,,,,,,,,,,,,,,L'Image,,,,,,,,,,,,,,,
Bars,602009961,http://www.openstreetmap.org/browse/node/602009961,,,,,,,,,,bar,,,,,,,,,,,,,,Bar du Musée,,,,,,,,,,,,,,,
Restaurants,724186716,http://www.openstreetmap.org/browse/node/724186716,,,,,,,,,,restaurant,,,,,,,,,,,,,,Bollywood Boulevard,,,,,,,,,,,,,,,
Fast-Foods,635864797,http://www.openstreetmap.org/browse/node/635864797,,,,,,,,,,fast_food,,,,,,,pizza,,,,,,,2 Spee Pizza,,,,,,,,,,,,,,,
Fast-Foods,635866758,http://www.openstreetmap.org/browse/node/635866758,,,,,,,,,,fast_food,,,,,,,,,,,,,,Tudisco Pizza,,,,,,,,,,,,,,,
Restaurants,1261342227,http://www.openstreetmap.org/browse/node/1261342227,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Toast-Tea,,,,,,,,,,,,,,,
Restaurants,724173637,http://www.openstreetmap.org/browse/node/724173637,,,,,,,,,,restaurant,,,,,,,,,,,,,,Pizzéria Notre-Dame,,,,,,,,,,,,,,,
Restaurants,1716859781,http://www.openstreetmap.org/browse/node/1716859781,,,,,,,,,,restaurant,,,,,,,indian,,,,,,,,,,,,,,,,,,,,,,
Restaurants,1846855378,http://www.openstreetmap.org/browse/node/1846855378,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,620882674,http://www.openstreetmap.org/browse/node/620882674,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Girafe,,,,,,,,,,,,,,,
Cafés,724173324,http://www.openstreetmap.org/browse/node/724173324,,,,,,,,,,cafe,,,,,,,,,,,,,,O Drol 2 Dames,,,,,,,,,,,,,,,
Restaurants,620882673,http://www.openstreetmap.org/browse/node/620882673,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Kitchenette,,,,,,,,,,,,,,,
Cafés,712099840,http://www.openstreetmap.org/browse/node/712099840,,,,,,,,,,cafe,,,,,,,,,,,,,,My Cupcake by Lila,,,,,,,,,,,,,,,
Restaurants,602012283,http://www.openstreetmap.org/browse/node/602012283,,,,,,,,,,restaurant,,,,,,,,,,,,,,Sister's Café,,,,,,,,,,,,,,,
Fast-Foods,724224675,http://www.openstreetmap.org/browse/node/724224675,,,,,,,,,,fast_food,,,,,,,,,,,,,,Alhambra,,,,,,,,,,,,,,,
Fast-Foods,711917034,http://www.openstreetmap.org/browse/node/711917034,,,,,,,,,,fast_food,,,,,,,,,,,,,,Pizza La Crise,,,,,,,,,,,,,,,
Fast-Foods,724173322,http://www.openstreetmap.org/browse/node/724173322,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le Manège,,,,,,,,,,,,,,,
Cafés,711917095,http://www.openstreetmap.org/browse/node/711917095,,,,,,,,,,cafe,,,,,,,,,,,,,,L'Arganier,,,,,,,,,,,,,,,
Restaurants,711917099,http://www.openstreetmap.org/browse/node/711917099,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Micocoule,,,,,,,,,,,,,,,
Fast-Foods,711917093,http://www.openstreetmap.org/browse/node/711917093,,,,,,,,,,fast_food,,,,,,,,,,,,,,Regal Kebab,,,,,,,,,,,,,,,
Fast-Foods,674042140,http://www.openstreetmap.org/browse/node/674042140,,,,,,,,,,fast_food,,,,,,,,,,,,,,Marius Escartefigues,,,,,,,,,,,,,,,
Cafés,724224676,http://www.openstreetmap.org/browse/node/724224676,,,,,,,,,,cafe,,,,,,,,,,,,,,Zandoli,,,,,,,,,,,,,,,
Restaurants,615026581,http://www.openstreetmap.org/browse/node/615026581,,,,,,,,,,restaurant,,,,,,,,,,,,,,The Black Cat,,,,,,,,,,,,,,,
Fast-Foods,711917088,http://www.openstreetmap.org/browse/node/711917088,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le Paradis Oriental,,,,,,,,,,,,,,,
Cafés,299982640,http://www.openstreetmap.org/browse/node/299982640,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Bibal,,,,,,,,,,,,,,,
Cafés,635866760,http://www.openstreetmap.org/browse/node/635866760,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Jules,,,,,,,,,,,,,,,
Fast-Foods,711910218,http://www.openstreetmap.org/browse/node/711910218,,,,,,,,,,fast_food,,,,,,,,,,,,,,Essaouira,,,,,,,,,,,,,,,
Fast-Foods,724171849,http://www.openstreetmap.org/browse/node/724171849,,,,,,,,,,fast_food,,,,,,,kebab,,,,,,,Hip Hop's Four,,,,,,,,,,,,,,,
Fast-Foods,711910210,http://www.openstreetmap.org/browse/node/711910210,,,,,,,,,,fast_food,,,,,,,,,,,,,,Pasta Campa,,,,,,,,,,,,,,,
Bars,1474087169,http://www.openstreetmap.org/browse/node/1474087169,,,,,,,rue de candolle,,,bar,,,,,,,,,,,,,,Triskell 4,,,,,,,,,,,,,,,
Restaurants,1721138019,http://www.openstreetmap.org/browse/node/1721138019,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,1716859766,http://www.openstreetmap.org/browse/node/1716859766,,,,,,,,,,restaurant,,,,,,,,,,,,,,Les Casseroles en Folie,,,,,,,,,,,,no,,,
Restaurants,711910208,http://www.openstreetmap.org/browse/node/711910208,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Flambée Bretonne,,,,,,,,,,,,,,,
Restaurants,724171845,http://www.openstreetmap.org/browse/node/724171845,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Vieux Four,,,,,,,,,,,,,,,
Cafés,674042128,http://www.openstreetmap.org/browse/node/674042128,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Solo,,,,,,,,,,,,,,,
Fast-Foods,724171877,http://www.openstreetmap.org/browse/node/724171877,,,,,,,,,,fast_food,,,,,,,kebab,,,,,,,Orientale Tendance,,,,,,,,,,,,,,,
Cafés,579814563,http://www.openstreetmap.org/browse/node/579814563,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,724171874,http://www.openstreetmap.org/browse/node/724171874,,,,,,,,,,restaurant,,,,,,,,,,,,,,Place O Goût,,,,,,,,,,,,,,,
Restaurants,635883720,http://www.openstreetmap.org/browse/node/635883720,,,,,,,,,,restaurant,,,,,,,,,,,,,,Les Jardins de Marrakech,,,,,,,,,,,,,,,
Restaurants,724171876,http://www.openstreetmap.org/browse/node/724171876,,,,,,,,,,restaurant,,,,,,,,,,,,,,Duo Restaurant,,,,,,,,,,,,,,,
Restaurants,1432775069,http://www.openstreetmap.org/browse/node/1432775069,,,,,,,,,,restaurant,,,,,,,pizza,,,,,,,Pizzeria Sainte-Anne,,,,,,,0467543046,,,,,,,,
Restaurants,1585984231,http://www.openstreetmap.org/browse/node/1585984231,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,724171875,http://www.openstreetmap.org/browse/node/724171875,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Grillardin,,,,,,,,,,,,,,,
Restaurants,1585984241,http://www.openstreetmap.org/browse/node/1585984241,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,1585984249,http://www.openstreetmap.org/browse/node/1585984249,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bars,598975860,http://www.openstreetmap.org/browse/node/598975860,,,,,,,,,,bar,,,,,,,,,,,,,,Comptoir de l'Arc,,,,,,,,,,,,limited,,,
Restaurants,1506456021,http://www.openstreetmap.org/browse/node/1506456021,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Terrasse,,,,,,,,,,,,,,,
Cafés,635883724,http://www.openstreetmap.org/browse/node/635883724,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafés,724187833,http://www.openstreetmap.org/browse/node/724187833,,,,,,,,,,cafe,,,,,,,,,,,,,,Fantasia,,,,,,,,,,,,,,,
Restaurants,1217404974,http://www.openstreetmap.org/browse/node/1217404974,,,,,,,,,,restaurant,,,,,,,french,,,,,,,Pourquoi pas?,,,,,,,,,,,,,,,
Bars,620884557,http://www.openstreetmap.org/browse/node/620884557,,,,,,,,,,bar,,,,,,,,,,,,,,La Distillerie,,,,,,,,,,,,,,,
Bars,1261342234,http://www.openstreetmap.org/browse/node/1261342234,,,,,,,,,,bar,wine,,,,,,,,,,,,,Le Times,,,,,,,,,,,,,,,
Restaurants,1585984247,http://www.openstreetmap.org/browse/node/1585984247,,,,,,,,,,restaurant,,,,,,,,,,,,,,Montpel',,,,,,,,,,,,,,,
Cafés,579814572,http://www.openstreetmap.org/browse/node/579814572,,,,,,,,,,cafe,,,,,,,,,,,,,,Café du Théâtre,,,,,,,,,,,,no,,,
Cafés,579814570,http://www.openstreetmap.org/browse/node/579814570,,,,,,,,,,cafe,,,,,,,,,,,,,,Yam's,,,,,,,,,,,,yes,,,
Restaurants,711896100,http://www.openstreetmap.org/browse/node/711896100,,,,,,,,,,restaurant,,,,,,,,,,,,,,Soledad,,,,,,,,,,,,,,,
Fast-Foods,466906172,http://www.openstreetmap.org/browse/node/466906172,,,,,,,,,,fast_food,,,,,,,burger,,,,,,,McDonald's,,,,,,,,,,,,,,,
Restaurants,1585984236,http://www.openstreetmap.org/browse/node/1585984236,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,579783589,http://www.openstreetmap.org/browse/node/579783589,,,,,,,,,,restaurant,,,,,,,french,,,,,,,Le Petit Grill,,,,,,,,,,,,,,,
Fast-Foods,711896102,http://www.openstreetmap.org/browse/node/711896102,,,,,,,,,,fast_food,,,,,,,,,,,,,,Burger & Co,,,,,,,,,,,,,,,
Restaurants,644629199,http://www.openstreetmap.org/browse/node/644629199,,,,,,,,,,restaurant,,,,,,,,,,,,,,La Bande Annonce,,,,,,,,,,,,,,,
