CODE;STRUCTURE;Nature ;Montant 
1886;CENTRE COMMUNAL D'ACTION SOCIALE ;F;12 350 000 €
4115;OFFICE DE TOURISME DE MONTPELLIER ;F;1 867 500 €
2866;COMITE DES OEUVRES SOCIALES ET CULTURELLES PERSONNEL MUNICIPAL ;F;520 000 €
5456;PROMOTION DES FLUX TOURISTIQUES ET ECONOMIQUES ;F;197 500 €
3486;GIP DSUA M ;F;196 024 €
3112;CAISSE DES ECOLES DE LA VILLE DE MONTPELLIER ;F;172 000 €
1076;CŒUR DE LIVRES;F;100 000 €
3846;Confluences;P;100 000 €
3976;MAISON DE MONTPELLIER A CHENGDU;F;100 000 €
4301;AGENCE LOCALE DE L'ENERGIE DE MONTPELLIER ;F;95 000 €
1664;L'AVITARELLE ;F;85 000 €
3176;Festival international des sports extremes - fise ;P;80 000 €
5223;Montpellier agglo athletic mediterranee ;P;62 500 €
1493;RESTAURANTS DU COEUR - RELAIS DU COEUR ;F;60 000 €
4472;LA VISTA - THEATRE DE LA MEDITERRANEE;F;50 000 €
5072;ASSOCIATION DE GESTION DE LA MAISON DE MONTPELLIER A HEIDELBERG ;F;50 000 €
5223;MONTPELLIER AGGLO ATHLETIC MEDITERRANEE ;F;50 000 €
5329;PRES SUD DE FRANCE ;F;50 000 €
5223;Montpellier agglo athletic mediterranee;F;45 000 €
926;MUC OMNISPORTS ;F;44 000 €
926;Muc omnisports ;F;42 000 €
3519;LA MERIDIONALE DES SPECTACLES ;F;40 000 €
102;FOOTBALL CLUB PETIT BARD ;F;38 000 €
3328;ADIL DE L'HERAULT ;F;36 000 €
2139;ASPTT MONTPELLIER ;F;35 000 €
2139;Asptt montpellier;F;34 300 €
3259;CONCORDA LOGIS ;F;33 000 €
;Chambre syndicale des ceramistes et ateliers d'art de france;P;31 700 €
1068;SECOURS POPULAIRE FRANCAIS MONTPELLIER ;F;31 000 €
4812;COMPAGNIE ADESSO E SEMPRE;P;30 000 €
5210;GROUPEMENT DE COOPERATION SOCIALE ET MEDICO SOCIALE MAISON DES ADOLESCENTS DE L'HERAULT 34 ;F;30 000 €
2432;Allons’z’Enfants – Cie Didier Théron;F;25 000 €
2835;SOLIDARITE DOM TOM HERAULT ;F;25 000 €
919;Muc escrime ;F;21 300 €
739;CHAMBRE DE COMMERCE ET D'INDUSTRIE ;F;20 000 €
914;ASLJ MONTPELLIER CROIX D'ARGENT VOLLEY BEACH VOLLEY ;F;20 000 €
963;Cep montpellier gym ;F;20 000 €
1201;La boutique d'écriture;F;20 000 €
1397;MAISON DE L'EUROPE DE MONTPELLIER ;F;20 000 €
1530;CLUB DE LA PRESSE MONTPELLIER LANGUEDOC ROUSSILLON;F;20 000 €
3845;Centre des arts du cirque Balthazar;F;20 000 €
4081;GRAIN D’IMAGE;P;20 000 €
914;Aslj montpellier croix d'argent volley beach volley;F;19 000 €
3745;Association Chrétiens et Cultures ;P;17 000 €
1396;MAISON DE HEIDELBERG ;F;15 000 €
1541;MONTPELLIER TENNIS DE TABLE ;F;15 000 €
1909;CIDFF;F;15 000 €
3746;Association Uni’sons;F;15 000 €
4472;LA VISTA - THEATRE DE LA MEDITERRANEE;P;15 000 €
4913;ASSOCIATION SPORTIVE ATLAS PAILLADE ;F;15 000 €
5105;L'Adresse;F;15 000 €
666;SECOURS CATHOLIQUE ;F;14 000 €
1192;Tennis club de la paillade ;F;14 000 €
1230;ASSOCIATION SPORTIVE DES BEAUX-ARTS MONTPELLIER OMNISPORTS ;F;14 000 €
4953;L'Arc en Ciel des Faubourgs;P;14 000 €
1230;Association sportive des beaux-arts montpellier omnisports ;F;13 800 €
72;CROIX D'ARGENT BASKET ;F;13 000 €
154;JAM Jazz Action;F;13 000 €
474;ASSOCIATION LA GERBE;F;13 000 €
4561;Asso sportive employes municipaux de montpellier ;F;12 500 €
1029;CENTRE 665;F;12 250 €
578;AVENIR SANTE ;P;12 000 €
1187;ARCEAUX MONTPELLIER ;F;12 000 €
1225;MONTPELLIER PETIT BARD FUTSAL ;F;12 000 €
4812;COMPAGNIE ADESSO E SEMPRE;F;12 000 €
1785;Comite d'organisation forum sportif et culturel - cofsec ;F;11 800 €
1155;Adages animation collective des familles ;F;11 500 €
5400;A.k sport ;F;11 500 €
963;CEP MONTPELLIER GYM ;F;11 000 €
1196;Asso Emploi Développement Entreprises Boutique Gestion Projet Cités Lab;P;11 000 €
661;ASSO DEPARTEMENTALE D'INFORMATION ET D'AIDE AUX VICTIMES ;F;10 000 €
696;Comite liaison des associations de personnes handicapees;F;10 000 €
697;Association pour personnes en situation de handicap;F;10 000 €
771;Champ Libre ;P;10 000 €
1071;UNIVERSITE PAUL-VALERY MONTPELLIER 3 – THEATRE DE LA VIGNETTE;F;10 000 €
1942;BANQUE ALIMENTAIRE;F;10 000 €
2260;MONTPELLIER CLUB HANDISPORT ;F;10 000 €
2583;Basket lattes montpellier agglomeration ;F;10 000 €
2800;ASSOCIATION NOUAS ;F;10 000 €
3988;MAISON DE LA POESIE;F;10 000 €
4388;Le Passe Muraille Projet Chantiers citoyens;P;10 000 €
4623;Pléiades emploi service Hérault;P;10 000 €
4773;DE.F.I  DEVELOPPEMENT, FORMATION, INSERTION ;F;10 000 €
4937;Compagnie tire pas la Nappe;F;10 000 €
5039;Machine Théâtre;F;10 000 €
4867;SOS JEUNES ;F;9 800 €
418;Association Rama;F;9 500 €
597;Hors Commerce;F;9 500 €
4900;Association Nationale Compagnons Bâtisseurs Etablissements LR Projet Accompagnement des propriétaires occupants de Montpellier-OPAH copropriété Cevennes 1, à l'auto-réhabilitation de leur logement;P;9 500 €
666;SECOURS CATHOLIQUE ;F;9 000 €
931;SAINT-MARTIN GAZELEC MONTPELLIER ;P;9 000 €
931;SAINT-MARTIN GAZELEC MONTPELLIER ;F;9 000 €
1068;SECOURS POPULAIRE FRANÇAIS;F;9 000 €
2066;Fete le mur montpellier ;F;9 000 €
2260;Montpellier club handisport;F;9 000 €
2608;RACING-CLUB LEMASSON MONTPELLIER ;F;9 000 €
3283;Compagnie Les Têtes de Bois;F;9 000 €
3568;Montpellier basket mosson;F;9 000 €
4214;U Structure Nouvelle;F;9 000 €
4900;ASSOCIATION NATIONALE COMPAGNONS BATISSEURS ETS LR ;P;9 000 €
456;MAISON DES TIERS MONDES SOLIDARITE INTERNATIONALE;F;8 500 €
4325;L'Outil Théâtre;F;8 500 €
5072;Association de gestion de la maison de montpellier à Heidelberg;I;8 300 €
58;Atelier Théâtr'elles - Espace la Jetée;F;8 000 €
978;Entente sportive bouliste de montpellier ;P;8 000 €
1420;STADE LUNARET NORD MONTPELLIER ;F;8 000 €
1493;RESTAURANTS DU CŒUR;F;8 000 €
1785;Comite d'organisation forum sportif et culturel - cofsec;P;8 000 €
2776;DECLIC FAMILLES ET TOXICOMANIES ;F;8 000 €
4364;Exit Compagnie;F;8 000 €
4755;Association Lola;F;8 000 €
1281;Kaïna;F;7 500 €
3104;Etre en Scène;F;7 500 €
3961;Compagnie Aurelia;F;7 500 €
4786;LESBIAN AND GAY PRIDE LANGUEDOC-ROUSSILLON ;F;7 500 €
5448;CULTURE ET SPORTS SOLIDAIRES 34 ;F;7 500 €
;ADAGES ESPACE FAMILLE;P;7 500 €
244;CONSOMMATION LOGEMENT CADRE DE VIE DE MONTPELLIER CLCV ;F;7 300 €
406;Echecs club montpellier ;F;7 300 €
3359;MOUVEMENT DU NID ;F;7 200 €
105;FESTIVAL INTERNATIONAL DU CINEMA MEDITERRANEEN DE MONTPELLIER ;P;7 000 €
642;FEDERATION DES CONSEILS DE PARENTS D'ELEVES DE L'HERAULT ;F;7 000 €
661;Association Départementale d'Aide aux Victimes Projet Accueil, écoute, information sur les droits, aide psychologique et orientation des victimes d'infractions pénales;P;7 000 €
1902;Association du Nouveau Sainte-Anne ;p;7 000 €
2683;Les Gens du Quai ;F;7 000 €
3568;MONTPELLIER BASKET MOSSON ;F;7 000 €
3668;Compagnie Comme Ca;F;7 000 €
4163;Via Voltaire Projet Prévention, soutien, orientation sanitaire et sociale pour les jeunes;P;7 000 €
4326;SOCIETE ST VINCENT DE PAUL;F;7 000 €
5034;Association Chicanes;F;7 000 €
5109;Compagnie de l'Astrolabe;F;7 000 €
153;Ensemble Vocal de Montpellier ;P;6 500 €
1909;Centre d'Information des Droits des Femmes et des Familles Projet Accès aux droits, médiation familiale et conseil conjugal et familial;P;6 500 €
406;ECHECS CLUB MONTPELLIER ;P;6 000 €
702;Montpellier beach volley ;P;6 000 €
1036;Association Prévention Spécialisé 34 Projet Chantiers éducatifs pilotés par un collectif sur les Hauts de Massane;P;6 000 €
1461;Collectif Koa ;p;6 000 €
2101;LIEUX RESSOURCES MONTPELLIER ;F;6 000 €
2575;Ecole des Parents et des Educateurs de l'Hérault Projet Point Ecoute Parents-Enfants-Adolescents-Jeunes;P;6 000 €
2639;Asso presidents petanque secteur montpellier ville ;F;6 000 €
4012;MONTPELLIER AGGLOMERATION FUTSAL ;F;6 000 €
4163;Via Voltaire Projet Interface;P;6 000 €
4534;LE VIEUX BICLOU ;F;6 000 €
4951;Association Bruit qui Court;F;6 000 €
5016;Compagnie Les Perles de Verre ;P;6 000 €
5110;Compagnie Vertigo;F;6 000 €
;OCCE Charles DICKENS;P;5 808 €
586;UEAM UNEF ;F;5 800 €
4556;Montpellier eaux vives canoe-kayak ;F;5 800 €
1036;APS 34;F;5 700 €
1464;Césam Migrations Santé Languedoc, Comité pour la Santé Projet Pour une prise en charge de la fragilité psycho-sociale : médiation interculturelle et soutien à la parentalité;P;5 500 €
3933;MONTPELLIER ROLLER HOCKEY CLUB ;F;5 500 €
5249;Service d'Orientation et de Médiation pour l'Insertion Sociale - SOMIS Projet Médiation administrative, interprétariat, écrivain public;P;5 200 €
149;Ensemble Vocal Claire Garrone;F;5 000 €
343;ASSOCIATION DE SOLIDARITE AVEC LES TRAVAILLEURS MIGRANTS ;F;5 000 €
412;Intensités;F;5 000 €
419;LIGUE INTERNATIONALE CONTRE LE RACISME ET L'ANTISEMITISME ;F;5 000 €
1161;Compagnie Internationale Alligator - CIA Projet Correspondance de quartier;P;5 000 €
1469;Les Francas de l'Hérault Projet Eduquer pour prévenir;P;5 000 €
1523;Dansomania Cie Anne Marie Porras;F;5 000 €
1543;FNATH Accidentés de la vie section Montpellier;F;5 000 €
1784;Agence immobiliere a vocation sociale - aivs Hérault;F;5 000 €
2558;Les Murs d'Aurelle;F;5 000 €
2971;Association de mediation penale montpellieraine ;F;5 000 €
3005;Sonorités ;F;5 000 €
3252;Association Achles;F;5 000 €
3311;Compania Inesperada;F;5 000 €
3933;Montpellier roller hockey club ;F;5 000 €
3944;Association des Chœurs de Montpellier;P;5 000 €
3988;MAISON DE LA POESIE;P;5 000 €
4200;ASSOCIATION ENVIE ;F;5 000 €
4549;EMBRUN ;P;5 000 €
4819;L'Atalante;F;5 000 €
4900;Association Nationale Compagnons Bâtisseurs Etablissements LR Projet Ateliers de quartier Montpellier ville;P;5 000 €
4907;Reseau accueil insertion Hérault ;F;5 000 €
4908;Face Hérault ;F;5 000 €
5016;Compagnie Les Perles de Verre ;F;5 000 €
5052;Compagnie Autre Mi Na;F;5 000 €
5095;Les Chiens Andalous;F;5 000 €
5097;LES ENFANTS D'HELENE ;F;5 000 €
5205;Compagnie Moebius;F;5 000 €
5563;AMTRH-Kennedy;P;5 000 €
4821;Club des supporters blue fox du montpellier handball ;F;4 850 €
1417;Montpellier baseball universite club, les barracudas du lez ;F;4 800 €
3833;Montpellier languedoc cyclisme ;F;4 800 €
237;UNION LOCALE CGT ;F;4 700 €
240;CFDT UNION LOCALE ;F;4 700 €
5187;CARREFOUR DES CIVILISATIONS ;F;4 700 €
1945;PHARMACIE HUMANITAIRE INTERNATIONALE HERAULT ;F;4 500 €
3659;MONTPELLIER AGGLOMERATION TAEKWONDO DRAGONS TEAM ;F;4 500 €
3659;Montpellier agglomeration taekwondo dragons team ;F;4 500 €
3932;Association  des Cévennes Insertion Loisirs et Education - ACLE Projet Atelier sociolinguistique;P;4 500 €
5020;Association Stella-Murray Brosch Productions;F;4 500 €
5202;Association justice pour le petit bard ;F;4 500 €
5214;INFORIM LEO LAGRANGE Projet CLUB;P;4 500 €
3675;ESSOR SAVOIRS ET PARTAGE ;F;4 300 €
3901;HALTE POUCE ;F;4 300 €
71;I.Projet-Echanges Internationaux Culture Citoyenneté Projet Université du Citoyen;P;4 000 €
278;MONTPELLIER ARC CLUB ;F;4 000 €
467;Relais enfants dans la ville Projet Accompagner les jeunes et leurs familles dans la réussite éducative;P;4 000 €
689;ASSOCIATION LANGUEDOCIENNE POUR LA JEUNESSE ;F;4 000 €
1150;CIMADE - SERVICE OECUMENIQUE D'ENTRAIDE ;F;4 000 €
1281;Kaina Tv Projet KAINA TV;P;4 000 €
1309;POMPIGNANE SPORT ET CULTURE ;F;4 000 €
1315;Théâtre de la Remise;F;4 000 €
1424;Collège Las Cazes Projet CLER (Classes Lecture Ecriture renforcée);P;4 000 €
1946;Crescendoc;F;4 000 €
1949;Théâvida ;P;4 000 €
1961;Union Départementale des Associations Familiales de l'Hérault - U.D.A.F 34 Projet Médiation locative Cévennes;P;4 000 €
1966;Association des Producteurs Editeur de Musique en Languedoc Roussillon;F;4 000 €
2004;Association Jeunes Phobos Montpellier et Paillade Nord Projet Accès des jeunes à la vie de la cité;P;4 000 €
2725;Créer - maison des chomeurs ;F;4 000 €
2776;Déclic Familles et Toxicomanies Projet Prévention et accès à la santé des jeunes et des familles en grande difficulté;P;4 000 €
2874;REDUIRE LES RISQUES ;F;4 000 €
3090;INITIATIVE SOLIDARITE SITUATIONS URGENCE;F;4 000 €
3617;Compagnie Point du Jour;F;4 000 €
3944;Association des Chœurs de Montpellier;F;4 000 €
4806;ASSOCIATION SPORTIVE ET CULTURELLE PAILLADE MERCURE ;F;4 000 €
4817;Vox Rapido;F;4 000 €
4841;Association Vivre Ensemble en Citoyens Quartier des Cévennes Projet Action éducative auprès des Parents;P;4 000 €
4875;ASSOCIATION SPORTIVE DE CELLENEUVE ;F;4 000 €
4908;Face Hérault Projet Un but pour l'emploi;P;4 000 €
4955;Musique Sans Frontières Projet Création artistique et éducation à travers les cultures du monde;P;4 000 €
4962;Grognon Frères;F;4 000 €
5002;Mosson full contact;F;4 000 €
5156;Association Tout à Fond  ;F;4 000 €
5167;Generation taekwondo ;F;4 000 €
3081;Bleu vertige ;F;3 900 €
;OCCE AMSTRONG;P;3 720 €
984;Montpellier petanque saint martin ;F;3 700 €
25;CLRISTALS LES PETITS DEBROUILLARDS ;F;3 500 €
148;Choeurs de l'Enclos;F;3 500 €
278;Montpellier arc club;F;3 500 €
756;AMICALE DES RETRAITES MUNICIPAUX ;F;3 500 €
1201;LA BOUTIQUE D'ECRITURE ET CO ;P;3 500 €
1281;KAINA ;P;3 500 €
3140;A Contre Poil du Sens;F;3 500 €
3574;Mouvements citoyens (ex asso pergola petit bard) ;F;3 500 €
3808;Montpellier culture sport adapte ;F;3 500 €
3996;Ensemble Choral Universitaire de Montpellier;F;3 500 €
4701;Mfa montpellier football americain les hurricanes ;F;3 500 €
4807;ASSOCIATION TIN HINAN ;F;3 500 €
5167;Generation taekwondo ;P;3 500 €
5239;Rhizome ;F;3 500 €
5398;MELTING POT MUSIC;P;3 500 €
863;Boxing club montpellierain;F;3 400 €
;OCCE KUROSAWA;P;3 248 €
429;Raiponce ;F;3 200 €
1755;APAJ Centre Gitan Projet Webaction;P;3 200 €
2466;As cevennes ;F;3 200 €
;OCCE Eugène POTTIER;P;3 200 €
121;MAJORETTES IMPERIALES DE MONTPELLIER ;F;3 000 €
122;MAJORETTES DE MONTPELLIER DITES MAJOR'S GIRLS ;F;3 000 €
155;INTERVALLE - JALMALV  MONTPELLIER ;F;3 000 €
161;Club Lyrique de Montpellier;F;3 000 €
211;Bricabrac ars fabric;F;3 000 €
278;Montpellier arc club ;P;3 000 €
324;Les Amis du Théâtre Pierre Tabard;F;3 000 €
344;TERRE NOURRICIERE ;P;3 000 €
490;Théâtre de la Plume;F;3 000 €
578;AVENIR SANTE;F;3 000 €
681;AFD 34 ASSOCIATION DES DIABETIQUES DE L'HERAULT;F;3 000 €
686;TRISOMIE 21 HERAULT - GROUPE D'ETUDE ET D'INSERTION SOCIALE DE PERSONNES TRISOMIQUES 21 ;F;3 000 €
723;JALMAV CRERSI ;F;3 000 €
777;Mouvement Français pour le Planning Familial  Projet Femmes Santé Citoyenneté;P;3 000 €
845;Muc aviron universite club ;F;3 000 €
931;SAINT-MARTIN GAZELEC MONTPELLIER;P;3 000 €
1143;Compagnie les Grisettes;F;3 000 €
1195;Lions club montpellier languedoc ;P;3 000 €
1234;La boule du lantissargues ;F;3 000 €
1250;Association Corée'graphie;F;3 000 €
1420;Stade lunaret nord montpellier ;P;3 000 €
1424;Collège Las Cazes Projet Tous en scène;P;3 000 €
1425;RIRE CLOWNS POUR ENFANTS HOSPITALISES;F;3 000 €
1457;MOSSON COULEE VERTE ;F;3 000 €
1549;Comite departemental du sport adapte Hérault ;F;3 000 €
1664;AVITARELLE;F;3 000 €
1748;Les Rencontres du Court;P;3 000 €
1774;Cie Pepi Morena ( ex-Temps Danse);F;3 000 €
1806;Aides LM 34 Projet Promotion du dépistage du VIH, des hépatites et des IST avec et auprès des personnes migrantes dans la ville de Montpellier;P;3 000 €
1909;CIDFF;P;3 000 €
1936;Roule nature;F;3 000 €
2013;LA PENA DEI CLAPAS;F;3 000 €
2076;LIGUE CONTRE LA VIOLENCE ROUTIERE SECTION HERAULT ;F;3 000 €
2099;Association socioculturelle bilingue Frederic Peyson ;F;3 000 €
2142;Association pour l'Insertion des Jeunes par l'Economique - APIJE Projet Aide à la gestion familiale, un support à l'intégration;P;3 000 €
2575;ECOLE DES PARENTS ET DES EDUCATEURS DE L'HERAULT ;P;3 000 €
2608;Racing-club lemasson montpellier ;P;3 000 €
2835;SOLIDARITE DOM TOM;F;3 000 €
2882;ETINCELLE LANGUEDOC-ROUSSILLON ;P;3 000 €
2882;ETINCELLE LANGUEDOC-ROUSSILLON ;F;3 000 €
3203;Sina Kawa Théâtre;F;3 000 €
3230;MAISON DE L'ARCHITECTURE DU LANGUEDOC ROUSSILLON ;P;3 000 €
3317;SPHERES SOINS PALLIATIFS HOPITAL ET RESEAUX EXTERNES DE SANTE ;F;3 000 €
3471;Compagnie des Nuits Partagées;F;3 000 €
3628;Adages Espace Famille Projet Le français au quotidien comme vecteur d'intégration;P;3 000 €
3628;Adages Espace Famille Projet Animation vie locale jeunesse;P;3 000 €
3746;ASSOCIATION UNI'SONS ;P;3 000 €
